log10temp;ratioGOES1;ratioGOES2;ratioGOES3;ratioGOES4;ratioGOES5;ratioGOES6;ratioGOES7;ratioGOES8;ratioGOES9;ratioGOES10;ratioGOES11;ratioGOES12;ratioGOES13;ratioGOES14;ratioGOES15
0.71999999999999997;3.00e-02;2.96e-02;2.96e-02;2.45e-02;2.59e-02;2.58e-02;2.38e-02;1.96e-02;2.02e-02;2.19e-02;2.05e-02;2.09e-02;2.03e-02;2.03e-02;2.10e-02
0.73999999999999999;3.33e-02;3.29e-02;3.29e-02;2.72e-02;2.87e-02;2.86e-02;2.64e-02;2.19e-02;2.25e-02;2.44e-02;2.28e-02;2.33e-02;2.27e-02;2.27e-02;2.34e-02
0.76000000000000001;3.68e-02;3.64e-02;3.64e-02;3.01e-02;3.18e-02;3.17e-02;2.92e-02;2.44e-02;2.51e-02;2.70e-02;2.54e-02;2.59e-02;2.52e-02;2.52e-02;2.60e-02
0.78000000000000003;4.07e-02;4.02e-02;4.02e-02;3.33e-02;3.51e-02;3.51e-02;3.21e-02;2.72e-02;2.78e-02;2.99e-02;2.82e-02;2.86e-02;2.80e-02;2.80e-02;2.88e-02
0.80000000000000004;4.48e-02;4.43e-02;4.43e-02;3.67e-02;3.87e-02;3.87e-02;3.53e-02;3.01e-02;3.08e-02;3.29e-02;3.12e-02;3.17e-02;3.10e-02;3.10e-02;3.18e-02
0.82000000000000006;4.93e-02;4.87e-02;4.87e-02;4.03e-02;4.26e-02;4.26e-02;3.87e-02;3.33e-02;3.40e-02;3.63e-02;3.44e-02;3.49e-02;3.42e-02;3.42e-02;3.51e-02
0.83999999999999997;5.41e-02;5.34e-02;5.34e-02;4.42e-02;4.67e-02;4.68e-02;4.24e-02;3.68e-02;3.75e-02;3.99e-02;3.79e-02;3.85e-02;3.77e-02;3.77e-02;3.86e-02
0.85999999999999999;5.92e-02;5.86e-02;5.86e-02;4.85e-02;5.12e-02;5.13e-02;4.64e-02;4.05e-02;4.13e-02;4.37e-02;4.17e-02;4.23e-02;4.15e-02;4.15e-02;4.24e-02
0.88;6.48e-02;6.40e-02;6.40e-02;5.30e-02;5.59e-02;5.62e-02;5.07e-02;4.45e-02;4.54e-02;4.79e-02;4.57e-02;4.64e-02;4.55e-02;4.55e-02;4.66e-02
0.90000000000000002;7.07e-02;6.99e-02;6.99e-02;5.79e-02;6.11e-02;6.15e-02;5.52e-02;4.89e-02;4.97e-02;5.23e-02;5.01e-02;5.08e-02;4.99e-02;4.99e-02;5.10e-02
0.92000000000000004;7.71e-02;7.63e-02;7.63e-02;6.31e-02;6.66e-02;6.71e-02;6.01e-02;5.36e-02;5.45e-02;5.71e-02;5.48e-02;5.55e-02;5.47e-02;5.47e-02;5.58e-02
0.94000000000000006;8.40e-02;8.30e-02;8.30e-02;6.87e-02;7.25e-02;7.32e-02;6.54e-02;5.87e-02;5.96e-02;6.23e-02;5.99e-02;6.06e-02;5.97e-02;5.97e-02;6.09e-02
0.95999999999999996;9.14e-02;9.03e-02;9.03e-02;7.48e-02;7.89e-02;7.97e-02;7.10e-02;6.41e-02;6.50e-02;6.79e-02;6.54e-02;6.61e-02;6.52e-02;6.52e-02;6.65e-02
0.97999999999999998;9.93e-02;9.82e-02;9.82e-02;8.13e-02;8.57e-02;8.67e-02;7.70e-02;7.00e-02;7.10e-02;7.38e-02;7.13e-02;7.21e-02;7.11e-02;7.11e-02;7.24e-02
1.0;1.08e-01;1.07e-01;1.07e-01;8.82e-02;9.31e-02;9.42e-02;8.35e-02;7.64e-02;7.73e-02;8.03e-02;7.77e-02;7.85e-02;7.75e-02;7.75e-02;7.88e-02
1.02;1.17e-01;1.16e-01;1.16e-01;9.57e-02;1.01e-01;1.02e-01;9.06e-02;8.33e-02;8.42e-02;8.72e-02;8.46e-02;8.54e-02;8.44e-02;8.44e-02;8.58e-02
1.04;1.27e-01;1.25e-01;1.25e-01;1.04e-01;1.10e-01;1.11e-01;9.81e-02;9.08e-02;9.17e-02;9.47e-02;9.21e-02;9.29e-02;9.19e-02;9.19e-02;9.33e-02
1.0600000000000001;1.38e-01;1.36e-01;1.36e-01;1.13e-01;1.19e-01;1.21e-01;1.06e-01;9.90e-02;9.99e-02;1.03e-01;1.00e-01;1.01e-01;1.00e-01;1.00e-01;1.02e-01
1.0800000000000001;1.49e-01;1.48e-01;1.48e-01;1.22e-01;1.29e-01;1.31e-01;1.15e-01;1.08e-01;1.09e-01;1.12e-01;1.09e-01;1.10e-01;1.09e-01;1.09e-01;1.11e-01
1.1000000000000001;1.62e-01;1.60e-01;1.60e-01;1.33e-01;1.40e-01;1.43e-01;1.25e-01;1.18e-01;1.19e-01;1.22e-01;1.19e-01;1.20e-01;1.19e-01;1.19e-01;1.20e-01
1.1200000000000001;1.76e-01;1.74e-01;1.74e-01;1.44e-01;1.52e-01;1.55e-01;1.36e-01;1.28e-01;1.29e-01;1.32e-01;1.29e-01;1.30e-01;1.29e-01;1.29e-01;1.31e-01
1.1400000000000001;1.91e-01;1.89e-01;1.89e-01;1.56e-01;1.65e-01;1.68e-01;1.47e-01;1.40e-01;1.41e-01;1.43e-01;1.41e-01;1.42e-01;1.41e-01;1.41e-01;1.42e-01
1.1599999999999999;2.07e-01;2.04e-01;2.04e-01;1.69e-01;1.78e-01;1.83e-01;1.59e-01;1.52e-01;1.53e-01;1.55e-01;1.53e-01;1.54e-01;1.53e-01;1.53e-01;1.54e-01
1.1799999999999999;2.23e-01;2.21e-01;2.21e-01;1.83e-01;1.93e-01;1.97e-01;1.71e-01;1.65e-01;1.66e-01;1.68e-01;1.66e-01;1.66e-01;1.66e-01;1.66e-01;1.67e-01
1.2;2.40e-01;2.38e-01;2.38e-01;1.97e-01;2.08e-01;2.13e-01;1.84e-01;1.79e-01;1.79e-01;1.81e-01;1.79e-01;1.80e-01;1.79e-01;1.79e-01;1.81e-01
1.22;2.58e-01;2.55e-01;2.55e-01;2.11e-01;2.23e-01;2.29e-01;1.98e-01;1.93e-01;1.93e-01;1.95e-01;1.93e-01;1.93e-01;1.93e-01;1.93e-01;1.95e-01
1.24;2.76e-01;2.73e-01;2.73e-01;2.26e-01;2.39e-01;2.45e-01;2.11e-01;2.07e-01;2.07e-01;2.09e-01;2.07e-01;2.07e-01;2.07e-01;2.07e-01;2.09e-01
